Ticker,Weight
ONON,0.0002
RMBS,0.0002
DY,0.0002
SJM,0.0002
OVV,0.0002
NWSA,0.0002
IVZ,0.0002
AAL,0.0002
AES,0.0001
SPXC,0.0001
GMED,0.0001
BAX,0.0001
ENSG,0.0001
NCLH,0.0001
SWKS,0.0001
AR,0.0001
HLI,0.0001
PR,0.0001
BWA,0.0001
ARMK,0.0001
OC,0.0001
STRL,0.0001
JEF,0.0001
FOX,0.0001
QGEN,0.0001
AVAV,0.0001
CR,0.0001
SSB,0.0001
WYNN,0.0001
EGP,0.0001
SN,0.0001
FLS,0.0001
RRX,0.0001
W,0.0001
DOX,0.0001
REXR,0.0001
GTLS,0.0001
TECH,0.0001
ARWR,0.0001
PLNT,0.0001
WTFC,0.0001
WAL,0.0001
OWL,0.0001
COKE,0.0001
AFG,0.0001
RGEN,0.0001
TTEK,0.0001
APA,0.0001
CFLT,0.0001
FYBR,0.0001
MOH,0.0001
OGE,0.0001
ZION,0.0001
SAIA,0.0001
ALSN,0.0001
COLB,0.0001
OSK,0.0001
AWI,0.0001
UMBF,0.0001
IDCC,0.0001
ROIV,0.0001
PRI,0.0001
FRT,0.0001
GME,0.0001
SEIC,0.0001
PCOR,0.0001
HALO,0.0001
KNSL,0.0001
VMI,0.0001
TPG,0.0001
CMC,0.0001
BPOP,0.0001
QBTS,0.0001
MTCH,0.0001
KNX,0.0001
RNA,0.0001
PAYC,0.0001
HSIC,0.0001
OKLO,0.0001
OMF,0.0001
TTC,0.0001
ARE,0.0001
CTRE,0.0001
RRC,0.0001
AMG,0.0001
CNH,0.0001
AXS,0.0001
LAD,0.0001
GNRC,0.0001
CAG,0.0001
SANM,0.0001
LKQ,0.0001
AOS,0.0001
TAP,0.0001
ONTO,0.0001
UGI,0.0001
HQY,0.0001
AHR,0.0001
R,0.0001
JBTM,0.0001
ATR,0.0001
ADC,0.0001
ONB,0.0001
SOLS,0.0001
BRX,0.0001
CART,0.0001
CUBE,0.0001
SFM,0.0001
SITM,0.0001
AEIS,0.0001
CFR,0.0001
CORT,0.0001
LUMN,0.0001
G,0.0001
CLF,0.0001
BROS,0.0001
MGM,0.0001
POOL,0.0001
AVTR,0.0001
PNFP,0.0001
TTMI,0.0001
MOS,0.0001
EMN,0.0001
FR,0.0001
LYFT,0.0001
WING,0.0001
CELH,0.0001
WTS,0.0001
INGR,0.0001
MUSA,0.0001
NFG,0.0001
CHDN,0.0001
LNC,0.0001
SNV,0.0001
ESTC,0.0001
AXTA,0.0001
DINO,0.0001
MOD,0.0001
VOYA,0.0001
QRVO,0.0001
BEN,0.0001
SSD,0.0001
EXP,0.0001
H,0.0001
MIDD,0.0001
MOGA,0.0001
NNN,0.0001
ACI,0.0001
OLLI,0.0001
FSS,0.0001
HRL,0.0001
HIMS,0.0001
RGTI,0.0001
CYTK,0.0001
JXN,0.0001
ZWS,0.0001
CBSH,0.0001
STAG,0.0001
MTG,0.0001
MP,0.0001
FLR,0.0001
PCTY,0.0001
ORA,0.0001
AL,0.0001
IDA,0.0001
PATH,0.0001
CHWY,0.0001
EAT,0.0001
DUOL,0.0001
MAT,0.0001
XP,0.0001
CWAN,0.0001
HXL,0.0001
PRIM,0.0001
SMTC,0.0001
EXLS,0.0001
CWST,0.0001
FND,0.0001
MKTX,0.0001
FCFS,0.0001
PB,0.0001
ANF,0.0001
KEX,0.0001
THG,0.0001
CRUS,0.0001
ESAB,0.0001
ESNT,0.0001
AGCO,0.0001
GKOS,0.0001
VFC,0.0001
KD,0.0001
FAF,0.0001
STWD,0.0001
AXSM,0.0001
CHE,0.0001
JOBY,0.0001
RITM,0.0001
LEA,0.0001
ALK,0.0001
FBIN,0.0001
NXST,0.0001
GXO,0.0001
KRYS,0.0001
CGNX,0.0001
M,0.0001
VNOM,0.0001
JHG,0.0001
FNB,0.0001
LFUS,0.0001
PRAX,0.0001
NOV,0.0001
BSY,0.0001
LW,0.0001
VNT,0.0001
ARW,0.0001
IBP,0.0001
TEM,0.0001
CADE,0.0001
KMX,0.0001
GAP,0.0001
TMHC,0.0001
HRB,0.0001
CAVA,0.0001
VNO,0.0001
GBCI,0.0001
MSA,0.0001
AM,0.0001
PEGA,0.0001
TFX,0.0001
PCVX,0.0001
BIO,0.0001
IRTC,0.0001
GATX,0.0001
DOCS,0.0001
EPRT,0.0001
PIPR,0.0001
PTCT,0.0001
SITE,0.0001
RAL,0.0001
UEC,0.0001
HWC,0.0001
ENS,0.0001
ETSY,0.0001
WH,0.0001
MASI,0.0001
TRNO,0.0001
SLM,0.0001
MHK,0.0001
AS,0.0001
CHRD,0.0001
DAR,0.0001
BOOT,0.0001
MIR,0.0001
RYTM,0.0001
BFAM,0.0001
UFPI,0.0001
ESI,0.0001
SEE,0.0001
APLD,0.0001
WFRD,0.0001
RHP,0.0001
OLED,0.0001
TIGO,0.0001
COGT,0.0001
RLI,0.0001
HOMB,0.0001
GTLB,0.0001
VLY,0.0001
TXNM,0.0001
HR,0.0001
GNTX,0.0001
HLNE,0.0001
CVLT,0.0001
KBR,0.0001
BIPC,0.0001
POR,0.0001
BMI,0.0001
AN,0.0001
AUB,0.0001
TKR,0.0001
RDN,0.0001
OPCH,0.0001
CZR,0.0001
BC,0.0001
APPF,0.0001
CPB,0.0001
MTN,0.0001
FCN,0.0001
THO,0.0001
UBSI,0.0001
ACA,0.0001
BRKR,0.0001
PTGX,0.0001
SIGI,0.0001
LPX,0.0001
LBRDK,0.0001
BCO,0.0001
BKH,0.0001
GTES,0.0001
DBX,0.0001
SAIC,0.0001
OZK,0.0001
RYAN,0.0001
SWX,0.0001
WEX,0.0001
QLYS,0.0001
NUVL,0.0001
GPI,0.0001
MORN,0.0001
MTDR,0.0001
REZI,0.0001
WTM,0.0001
CROX,0.0001
LOPE,0.0001
MMSI,0.0001
ST,0.0001
CSW,0.0001
NPO,0.0001
POST,0.0001
COMP,0.0001
LSTR,0.0001
BEPC,0.0001
ACIW,0.0001
KRG,0.0001
AAON,0.0001
HRI,0.0001
ESE,0.0001
BDC,0.0001
ROAD,0.0001
RDNT,0.0001
GVA,0.0001
MTH,0.0001
ABG,0.0001
CIFR,0.0001
CNR,0.0001
SR,0.0001
HCC,0.0001
ACHR,0.0001
SKY,0.0001
OGS,0.0001
BCPC,0.0001
AEO,0.0001
HUT,0.0001
CE,0.0001
BYD,0.0001
URBN,0.0001
AUR,0.0001
UHALB,0.0001
CNX,0.0001
LNTH,0.0001
CVCO,0.0001
MRP,0.0001
AGX,0.0001
ADMA,0.0001
AMTM,0.0001
MMS,0.0001
PI,0.0001
TGTX,0.0001
LAZ,0.0001
OSIS,0.0001
ABCB,0.0001
SSRM,0.0001
RIOT,0.0001
TCBI,0.0001
KYMR,0.0001
NJR,0.0001
LAUR,0.0001
BBWI,0.0001
QTWO,0.0001
ALKS,0.0001
LMND,0.0001
AX,0.0001
FOUR,0.0001
NOVT,0.0001
QS,0.0001
CRSP,0.0001
PECO,0.0001
AVT,0.0001
ATMU,0.0001
PL,0.0001
SNEX,0.0001
ENVA,0.0001
CNO,0.0001
MAC,0.0001
TNL,0.0001
BILL,0.0001
SBRA,0.0001
ENPH,0.0001
MUR,0.0001
KRC,0.0001
FORM,0.0001
CCC,0.0001
GPK,0.0001
FTDR,0.0001
AMKR,0.0001
AGO,0.0001
ECG,0.0001
FELE,0.0001
SKYW,0.0001
DVA,0.0001
VIAV,0.0001
STEP,0.0001
INDV,0.0001
CDTX,0.0001
ELF,0.0001
PLXS,0.0001
FOLD,0.0001
WK,0.0001
EBC,0.0001
VSCO,0.0001
ITRI,0.0001
SON,0.0001
ASB,0.0001
BOX,0.0001
KNF,0.0001
MC,0.0001
BTSG,0.0001
SLAB,0.0001
MSGS,0.0001
NEU,0.0001
CRNX,0.0001
PFSI,0.0001
CORZ,0.0001
TDS,0.0001
ADT,0.0001
CUZ,0.0001
S,0.0001
ATGE,0.0001
SXT,0.0001
RUN,0.0001
HAE,0.0001
STNE,0.0001
TMDX,0.0001
AROC,0.0001
PJT,0.0001
PRMB,0.0001
VSAT,0.0001
MSM,0.0001
LEU,0.0001
PRM,0.0001
UPST,0.0001
BRBR,0.0001
INDB,0.0001
FFIN,0.0001
SOUN,0.0001
KRMN,0.0001
SARO,0.0001
TVTX,0.0001
MGY,0.0001
VSEC,0.0001
NE,0.0001
SIRI,0.0001
KBH,0.0001
HASI,0.0001
YETI,0.0001
LGND,0.0001
EPR,0.0001
LLYVK,0.0001
BFB,0.0001
MATX,0.0001
WHR,0.0001
CRCL,0.0001
MDU,0.0001
FLG,0.0001
ASO,0.0001
VVV,0.0001
DLB,0.0001
IESC,0.0001
VKTX,0.0001
IRT,0.0001
TREX,0.0001
VRNS,0.0001
SFBS,0.0001
SHC,0.0001
PVH,0.0001
IBOC,0.0001
SIG,0.0001
SRRK,0.0001
NWE,0.0001
MWA,0.0001
CARG,0.0001
EOSE,0.0001
VRRM,0.0001
PATK,0.0001
TEX,0.0001
SKT,0.0001
KAI,0.0001
ZETA,0.0001
PLMR,0.0001
UCB,0.0001
COLD,0.0001
WSC,0.0001
MRCY,0.0001
TERN,0.0001
POWL,0.0001
PII,0.0001
WAY,0.0001
MARA,0.0001
CALM,0.0001
LTH,0.0001
EXPO,0.0001
RIG,0.0001
ACAD,0.0001
BHF,0.0001
KFY,0.0001
NVST,0.0001
COMM,0.0001
BXMT,0.0001
MHO,0.0001
GFS,0.0001
NWS,0.0001
GHC,0.0001
CBT,0.0001
OUT,0.0001
REVG,0.0001
DORM,0.0001
GLNG,0.0001
BTU,0.0001
CRC,0.0001
AZZ,0.0001
GNW,0.0001
FHB,0.0001
WULF,0.0001
PSMT,0.0001
NMIH,0.0001
RNST,0.0001
FUL,0.0001
TPC,0.0001
MYRG,0.0001
PSN,0.0001
SPSC,0.0001
XENE,0.0001
BFH,0.0001
SLGN,0.0001
RYN,0.0001
ARQT,0.0001
FBP,0.0001
KTB,0.0001
KGS,0.0
WSFS,0.0
ALGM,0.0
OPLN,0.0
ICUI,0.0
TGNA,0.0
PAG,0.0
GSAT,0.0
NHI,0.0
BKU,0.0
ZG,0.0
NG,0.0
OTTR,0.0
DOCN,0.0
LIVN,0.0
PCH,0.0
CLSK,0.0
LCII,0.0
JHX,0.0
SLG,0.0
RUSHA,0.0
BL,0.0
PBH,0.0
RARE,0.0
FIBK,0.0
VCYT,0.0
HURN,0.0
APGE,0.0
HAYW,0.0
EEFT,0.0
CATY,0.0
FULT,0.0
MZTI,0.0
GFF,0.0
CDP,0.0
NATL,0.0
GTM,0.0
AVA,0.0
CBU,0.0
UUUU,0.0
TPH,0.0
SHOO,0.0
AMBA,0.0
BCC,0.0
MIRM,0.0
WSBC,0.0
HWKN,0.0
